relationship_group,circumstance,year,count
Victim acquainted,"Quarrel, revenge or loss of temper",2014-15,177
Victim acquainted,"Quarrel, revenge or loss of temper",2015-16,184
Victim acquainted,"Quarrel, revenge or loss of temper",2016-17,213
Victim acquainted,"Quarrel, revenge or loss of temper",2017-18,227
Victim acquainted,"Quarrel, revenge or loss of temper",2018-19,235
Victim acquainted,"Quarrel, revenge or loss of temper",2019-20,207
Victim acquainted,"Quarrel, revenge or loss of temper",2020-21,208
Victim acquainted,"Quarrel, revenge or loss of temper",2021-22,201
Victim acquainted,"Quarrel, revenge or loss of temper",2022-23,192
Victim acquainted,"Quarrel, revenge or loss of temper",2023-24,185
Victim acquainted,"Quarrel, revenge or loss of temper",2024-25,144
Victim acquainted,In furtherance of theft or gain,2014-15,12
Victim acquainted,In furtherance of theft or gain,2015-16,18
Victim acquainted,In furtherance of theft or gain,2016-17,16
Victim acquainted,In furtherance of theft or gain,2017-18,25
Victim acquainted,In furtherance of theft or gain,2018-19,25
Victim acquainted,In furtherance of theft or gain,2019-20,23
Victim acquainted,In furtherance of theft or gain,2020-21,11
Victim acquainted,In furtherance of theft or gain,2021-22,21
Victim acquainted,In furtherance of theft or gain,2022-23,11
Victim acquainted,In furtherance of theft or gain,2023-24,14
Victim acquainted,In furtherance of theft or gain,2024-25,11
Victim acquainted,Terrorism,2014-15,0
Victim acquainted,Terrorism,2015-16,0
Victim acquainted,Terrorism,2016-17,0
Victim acquainted,Terrorism,2017-18,0
Victim acquainted,Terrorism,2018-19,0
Victim acquainted,Terrorism,2019-20,0
Victim acquainted,Terrorism,2020-21,0
Victim acquainted,Terrorism,2021-22,0
Victim acquainted,Terrorism,2022-23,0
Victim acquainted,Terrorism,2023-24,0
Victim acquainted,Terrorism,2024-25,0
Victim acquainted,Restraint/arrest attempt,2014-15,0
Victim acquainted,Restraint/arrest attempt,2015-16,0
Victim acquainted,Restraint/arrest attempt,2016-17,0
Victim acquainted,Restraint/arrest attempt,2017-18,0
Victim acquainted,Restraint/arrest attempt,2018-19,0
Victim acquainted,Restraint/arrest attempt,2019-20,0
Victim acquainted,Restraint/arrest attempt,2020-21,0
Victim acquainted,Restraint/arrest attempt,2021-22,0
