category,victim_sex,suspect_sex,year,count
Domestic homicide,Male,Male,2014-15,24
Domestic homicide,Male,Male,2015-16,21
Domestic homicide,Male,Male,2016-17,17
Domestic homicide,Male,Male,2017-18,13
Domestic homicide,Male,Male,2018-19,14
Domestic homicide,Male,Male,2019-20,27
Domestic homicide,Male,Male,2020-21,28
Domestic homicide,Male,Male,2021-22,34
Domestic homicide,Male,Male,2022-23,18
Domestic homicide,Male,Male,2023-24,18
Domestic homicide,Male,Male,2024-25,23
Domestic homicide,Male,Female,2014-15,8
Domestic homicide,Male,Female,2015-16,17
Domestic homicide,Male,Female,2016-17,12
Domestic homicide,Male,Female,2017-18,11
Domestic homicide,Male,Female,2018-19,15
Domestic homicide,Male,Female,2019-20,6
Domestic homicide,Male,Female,2020-21,10
Domestic homicide,Male,Female,2021-22,17
Domestic homicide,Male,Female,2022-23,13
Domestic homicide,Male,Female,2023-24,11
Domestic homicide,Male,Female,2024-25,13
Domestic homicide,Female,Male,2014-15,101
Domestic homicide,Female,Male,2015-16,94
Domestic homicide,Female,Male,2016-17,85
Domestic homicide,Female,Male,2017-18,87
Domestic homicide,Female,Male,2018-19,106
Domestic homicide,Female,Male,2019-20,86
Domestic homicide,Female,Male,2020-21,76
Domestic homicide,Female,Male,2021-22,83
Domestic homicide,Female,Male,2022-23,77
Domestic homicide,Female,Male,2023-24,81
Domestic homicide,Female,Male,2024-25,71
Domestic homicide,Female,Female,2014-15,1
Domestic homicide,Female,Female,2015-16,2
Domestic homicide,Female,Female,2016-17,5
Domestic homicide,Female,Female,2017-18,2
Domestic homicide,Female,Female,2018-19,4
Domestic homicide,Female,Female,2019-20,2
Domestic homicide,Female,Female,2020-21,3
Domestic homicide,Female,Female,2021-22,3
Domestic homicide,Female,Female,2022-23,2
Domestic homicide,Female,Female,2023-24,7
Domestic homicide,Female,Female,2024-25,4
Non-domestic (16+),Male,Male,2014-15,186
Non-domestic (16+),Male,Male,2015-16,210
Non-domestic (16+),Male,Male,2016-17,248
Non-domestic (16+),Male,Male,2017-18,281
Non-domestic (16+),Male,Male,2018-19,246
Non-domestic (16+),Male,Male,2019-20,309
Non-domestic (16+),Male,Male,2020-21,232
