victim_sex,acquaintance_status,relationship,year,count
Male,Acquainted,Son or daughter,2014-15,22
Male,Acquainted,Son or daughter,2015-16,9
Male,Acquainted,Son or daughter,2016-17,23
Male,Acquainted,Son or daughter,2017-18,17
Male,Acquainted,Son or daughter,2018-19,13
Male,Acquainted,Son or daughter,2019-20,13
Male,Acquainted,Son or daughter,2020-21,21
Male,Acquainted,Son or daughter,2021-22,21
Male,Acquainted,Son or daughter,2022-23,16
Male,Acquainted,Son or daughter,2023-24,14
Male,Acquainted,Son or daughter,2024-25,10
Male,Acquainted,Parent,2014-15,11
Male,Acquainted,Parent,2015-16,12
Male,Acquainted,Parent,2016-17,5
Male,Acquainted,Parent,2017-18,8
Male,Acquainted,Parent,2018-19,4
Male,Acquainted,Parent,2019-20,13
Male,Acquainted,Parent,2020-21,14
Male,Acquainted,Parent,2021-22,19
Male,Acquainted,Parent,2022-23,7
Male,Acquainted,Parent,2023-24,7
Male,Acquainted,Parent,2024-25,13
Male,Acquainted,Partner/ex-partner,2014-15,11
Male,Acquainted,Partner/ex-partner,2015-16,17
Male,Acquainted,Partner/ex-partner,2016-17,13
Male,Acquainted,Partner/ex-partner,2017-18,8
Male,Acquainted,Partner/ex-partner,2018-19,15
Male,Acquainted,Partner/ex-partner,2019-20,9
Male,Acquainted,Partner/ex-partner,2020-21,9
Male,Acquainted,Partner/ex-partner,2021-22,17
Male,Acquainted,Partner/ex-partner,2022-23,14
Male,Acquainted,Partner/ex-partner,2023-24,10
Male,Acquainted,Partner/ex-partner,2024-25,13
Male,Acquainted,Other family,2014-15,11
Male,Acquainted,Other family,2015-16,7
Male,Acquainted,Other family,2016-17,12
Male,Acquainted,Other family,2017-18,7
Male,Acquainted,Other family,2018-19,12
Male,Acquainted,Other family,2019-20,11
Male,Acquainted,Other family,2020-21,16
Male,Acquainted,Other family,2021-22,16
Male,Acquainted,Other family,2022-23,10
Male,Acquainted,Other family,2023-24,11
Male,Acquainted,Other family,2024-25,10
Male,Acquainted,Friend/acquaintance,2014-15,85
Male,Acquainted,Friend/acquaintance,2015-16,92
Male,Acquainted,Friend/acquaintance,2016-17,111
Male,Acquainted,Friend/acquaintance,2017-18,116
Male,Acquainted,Friend/acquaintance,2018-19,109
Male,Acquainted,Friend/acquaintance,2019-20,111
Male,Acquainted,Friend/acquaintance,2020-21,105
Male,Acquainted,Friend/acquaintance,2021-22,95
Male,Acquainted,Friend/acquaintance,2022-23,109
Male,Acquainted,Friend/acquaintance,2023-24,98
Male,Acquainted,Friend/acquaintance,2024-25,71
Male,Acquainted,Other,2014-15,41
Male,Acquainted,Other,2015-16,42
Male,Acquainted,Other,2016-17,40
